mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
-0.21275,0.06485,-0.31126,-0.10618,0.00241,0.00171
-0.1146,0.06482,-0.20766,-0.00365,0.00308,0.00218
-0.14298,0.06574,-0.24332,-0.02848,0.00251,0.00185
0.03719,0.06127,-0.05741,0.13548,0.0022,0.00173
-0.00616,0.06442,-0.11336,0.09201,0.00244,0.00189
0.00275,0.06953,-0.10587,0.11446,0.00296,0.00212
0.03747,0.06276,-0.05938,0.13787,0.00226,0.00169
0.03875,0.06585,-0.07072,0.1383,0.0029,0.00205
-0.05177,0.06422,-0.14863,0.05513,0.00235,0.00189
-0.10988,0.06137,-0.20391,-0.00867,0.00272,0.00193
-0.13134,0.06494,-0.2329,-0.03113,0.0025,0.00181
0.1122,0.06163,0.00534,0.20447,0.00254,0.0018
0.18576,0.06291,0.09777,0.29635,0.00259,0.00187
0.03473,0.06361,-0.06603,0.13496,0.00225,0.0018
0.06248,0.06624,-0.04447,0.16863,0.00261,0.00193
-0.06132,0.06699,-0.18009,0.04003,0.00251,0.00206
-0.0896,0.06369,-0.17994,0.01934,0.00283,0.00213
-0.1121,0.06286,-0.20906,-0.01607,0.00218,0.00171
0.01367,0.06131,-0.08867,0.10611,0.00246,0.00174
0.16135,0.06245,0.07001,0.26447,0.00264,0.00187
-0.00841,0.06677,-0.11791,0.09189,0.00272,0.00226
-0.15178,0.06256,-0.24022,-0.04253,0.00219,0.00163
0.01749,0.06276,-0.08019,0.11835,0.00213,0.00205
-0.00529,0.06146,-0.10073,0.09736,0.00397,0.00281
0.03668,0.06166,-0.06435,0.1296,0.00173,0.00165
-0.02243,0.06281,-0.12715,0.07071,0.00253,0.00188
-0.02467,0.06497,-0.13088,0.07312,0.00192,0.00181
-0.03032,0.06287,-0.12484,0.0747,0.00246,0.00214
0.11972,0.06203,0.01575,0.2122,0.00237,0.00171
0.14776,0.06295,0.05498,0.25562,0.00236,0.0017
-0.10616,0.06116,-0.20186,-0.00776,0.00216,0.00153
-0.13722,0.06608,-0.2474,-0.03665,0.00181,0.00144
-0.08287,0.06247,-0.18105,0.0141,0.00206,0.00169
0.0568,0.06223,-0.04957,0.14558,0.00234,0.00166
0.05297,0.06086,-0.04377,0.14722,0.00243,0.00176
0.09703,0.06221,-0.0102,0.18861,0.00246,0.00174
-0.03677,0.06324,-0.12797,0.07034,0.00243,0.00184
-0.06842,0.06633,-0.17339,0.04173,0.00258,0.00196
0.00816,0.06483,-0.08333,0.1218,0.00242,0.00198
-0.07609,0.06359,-0.18164,0.01929,0.00199,0.0016
