mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
0.02541,0.01996,-0.0071,0.05824,0.00117,0.00083
0.00422,0.02093,-0.03029,0.03408,0.00134,0.00095
-0.05666,0.02077,-0.08989,-0.02304,0.00166,0.00127
0.04791,0.02181,0.01552,0.08443,0.00176,0.00131
-0.09835,0.01985,-0.13227,-0.07087,0.00108,0.00077
-0.00565,0.01967,-0.03556,0.02715,0.00154,0.00109
0.06389,0.02104,0.03124,0.09791,0.00145,0.00103
-0.0076,0.02014,-0.03754,0.02568,0.00128,0.00091
0.03322,0.02009,-0.00193,0.06195,0.00161,0.00114
-0.05188,0.01978,-0.08349,-0.02138,0.00113,0.0008
0.05583,0.01928,0.02375,0.08489,0.00127,0.00091
-0.00818,0.02148,-0.04494,0.02068,0.00177,0.00125
-0.02801,0.02134,-0.06221,0.00659,0.00166,0.00117
-0.06874,0.01871,-0.09583,-0.03608,0.00131,0.00092
0.03155,0.0203,-0.00008,0.06575,0.00132,0.00094
0.00897,0.01993,-0.02433,0.03845,0.00171,0.00121
0.01192,0.02123,-0.02565,0.04063,0.00166,0.00118
0.04779,0.02098,0.00947,0.07765,0.00111,0.00079
0.00438,0.02143,-0.02948,0.03881,0.00142,0.001
-0.00197,0.02115,-0.03226,0.03288,0.00173,0.00123
0.04217,0.02104,0.01024,0.07784,0.00154,0.00111
-0.03186,0.02221,-0.06637,0.00165,0.0013,0.00093
-0.01206,0.02051,-0.0433,0.02121,0.00125,0.00089
0.01278,0.02303,-0.02165,0.04991,0.00174,0.00124
-0.01287,0.02103,-0.04578,0.01981,0.00147,0.00104
0.12893,0.02183,0.0921,0.16156,0.00188,0.00133
-0.09176,0.01966,-0.12395,-0.06169,0.0013,0.00093
-0.06309,0.01982,-0.09272,-0.02921,0.00206,0.00146
-0.02399,0.01942,-0.05509,0.00544,0.00105,0.0008
-0.02286,0.02066,-0.05073,0.0145,0.001,0.00072
-0.07996,0.02027,-0.1157,-0.0516,0.00156,0.00111
-0.0461,0.02072,-0.08251,-0.01632,0.00145,0.00103
-0.05088,0.01976,-0.08456,-0.02243,0.00158,0.00123
0.00921,0.021,-0.02188,0.04563,0.00189,0.00134
-0.01562,0.01952,-0.04971,0.01334,0.00122,0.00087
0.08267,0.01965,0.05143,0.11281,0.00102,0.00073
0.01606,0.02009,-0.01497,0.04883,0.00121,0.00086
-0.02708,0.02136,-0.06105,0.00653,0.0014,0.00112
0.1153,0.01973,0.08361,0.14548,0.00202,0.00144
0.05844,0.02036,0.02332,0.08712,0.00135,0.00096
0.05656,0.01958,0.02355,0.08658,0.00137,0.00097
0.06784,0.02241,0.03274,0.10244,0.00111,0.0008
0.00628,0.019,-0.02597,0.035,0.00156,0.0011
-0.02555,0.02052,-0.0598,0.00528,0.00113,0.0008
-0.03466,0.01988,-0.06677,-0.00392,0.00113,0.0008
-0.0151,0.02131,-0.04966,0.01908,0.00172,0.00122
0.0354,0.02005,0.00556,0.06977,0.00122,0.00087
-0.07871,0.02122,-0.11326,-0.04758,0.00144,0.00103
-0.04659,0.01983,-0.084,-0.02019,0.00111,0.0008
-0.02954,0.01956,-0.06564,-0.00224,0.00138,0.00098
-0.01191,0.01959,-0.04497,0.01762,0.00141,0.001
0.01317,0.02244,-0.02431,0.04734,0.00148,0.00105
-0.05172,0.02197,-0.08568,-0.01752,0.00181,0.00128
-0.06637,0.02015,-0.09732,-0.03216,0.00149,0.00106
-0.02821,0.01964,-0.05944,0.0021,0.00142,0.00107
-0.04117,0.02062,-0.07516,-0.01089,0.00143,0.00101
0.03051,0.02088,-0.00085,0.06517,0.00147,0.00104
-0.06096,0.01971,-0.09419,-0.03276,0.00135,0.00096
0.0859,0.02052,0.05333,0.11787,0.00111,0.00079
0.02124,0.01979,-0.01087,0.05282,0.00146,0.00104
-0.01845,0.01989,-0.04862,0.0123,0.00113,0.0008
-0.01428,0.02154,-0.04836,0.01799,0.00113,0.0008
-0.00546,0.01965,-0.03569,0.02646,0.00133,0.00094
-0.02165,0.02046,-0.05637,0.00722,0.0009,0.00077
-0.05374,0.01889,-0.08159,-0.02098,0.00116,0.00085
0.00144,0.01982,-0.03055,0.03171,0.00177,0.00125
-0.01482,0.01999,-0.04342,0.01888,0.00134,0.00095
-0.01474,0.01952,-0.0448,0.0162,0.00135,0.00099
0.00488,0.0214,-0.02826,0.04234,0.00152,0.00107
0.03066,0.0207,0.00041,0.06466,0.00164,0.00119
0.07025,0.02025,0.03728,0.10226,0.001,0.00071
-0.00577,0.02025,-0.0376,0.02829,0.00183,0.0013
-0.0115,0.01952,-0.04091,0.02012,0.00102,0.00081
0.01095,0.02153,-0.01954,0.04933,0.00122,0.00086
-0.07547,0.02096,-0.11196,-0.04321,0.00132,0.00094
-0.04742,0.02019,-0.08045,-0.01521,0.00139,0.00103
0.03477,0.0197,0.00475,0.06603,0.00146,0.00103
0.00636,0.02094,-0.02778,0.03883,0.00158,0.00121
-0.01266,0.02147,-0.05136,0.01908,0.0019,0.00134
0.06227,0.02107,0.03107,0.09638,0.00129,0.00091
