mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
0.16161,0.06351,0.0583,0.25449,0.00202,0.00146
0.08864,0.06656,-0.00885,0.19719,0.00201,0.00162
0.08461,0.06891,-0.01048,0.20821,0.00182,0.00153
0.01579,0.06655,-0.09265,0.11484,0.00174,0.00229
-0.0085,0.06653,-0.12277,0.08853,0.00167,0.00257
0.03957,0.06586,-0.06744,0.14218,0.00202,0.00186
0.11855,0.06626,0.01352,0.22497,0.00198,0.00143
0.06893,0.06685,-0.03917,0.17419,0.00161,0.00157
-0.03074,0.0661,-0.14023,0.07363,0.00229,0.00167
0.03122,0.06473,-0.07483,0.13015,0.00212,0.00191
0.01082,0.06622,-0.088,0.11428,0.00199,0.00201
-0.03853,0.06502,-0.13609,0.06542,0.0023,0.00168
-0.02135,0.06794,-0.13079,0.08087,0.00193,0.00223
0.07154,0.0668,-0.04169,0.16515,0.00266,0.00193
0.01881,0.06553,-0.08939,0.12097,0.0022,0.0018
-0.03071,0.06717,-0.13458,0.0791,0.00205,0.00207
-0.12539,0.06238,-0.2274,-0.03118,0.00154,0.00124
-0.04328,0.06418,-0.15354,0.05316,0.00142,0.00156
0.01421,0.06489,-0.08759,0.11404,0.00195,0.00192
0.03331,0.06746,-0.07481,0.13886,0.00208,0.00184
0.02247,0.06613,-0.07738,0.13733,0.00158,0.00268
-0.07245,0.067,-0.18747,0.029,0.00197,0.0017
0.00398,0.06676,-0.10562,0.10491,0.00234,0.00239
-0.03911,0.06185,-0.13927,0.0531,0.00188,0.00157
0.07717,0.06328,-0.02456,0.17064,0.00145,0.00141
-0.05925,0.06371,-0.16021,0.03979,0.00202,0.00159
0.13551,0.06316,0.05066,0.25758,0.00205,0.00152
-0.01782,0.06685,-0.11942,0.09138,0.00183,0.00204
-0.02632,0.06443,-0.13323,0.07391,0.00182,0.00223
-0.00538,0.06749,-0.11689,0.09832,0.00218,0.00222
0.07215,0.06592,-0.03176,0.17523,0.00171,0.0015
0.07453,0.06583,-0.02858,0.17214,0.00244,0.00173
-0.05573,0.06151,-0.15244,0.041,0.00156,0.00162
-0.06941,0.06336,-0.16887,0.03111,0.00165,0.0015
-0.01858,0.0632,-0.12834,0.07039,0.00198,0.00184
0.0772,0.06689,-0.0424,0.17262,0.00175,0.00141
0.13192,0.06644,0.01274,0.22581,0.00204,0.00148
-0.03452,0.06657,-0.13505,0.06984,0.00189,0.00172
-0.03259,0.06539,-0.13866,0.06661,0.00205,0.00178
0.11858,0.06735,0.00065,0.2133,0.00217,0.00171
-0.04902,0.06412,-0.14849,0.05228,0.00206,0.00182
0.05764,0.06777,-0.06097,0.15934,0.00191,0.00173
-0.08017,0.06611,-0.1898,0.01912,0.00156,0.00164
-0.03622,0.06705,-0.13265,0.07443,0.00225,0.00174
-0.03169,0.0656,-0.12539,0.0826,0.00177,0.00189
0.05764,0.07131,-0.06914,0.15849,0.00208,0.00222
-0.1175,0.06386,-0.21998,-0.01789,0.0018,0.00139
-0.15427,0.06108,-0.25296,-0.06255,0.00173,0.0013
0.01087,0.06281,-0.08536,0.11068,0.00188,0.00204
0.00809,0.06268,-0.09456,0.10042,0.00177,0.00193
0.13659,0.06361,0.04216,0.24638,0.00253,0.00179
0.06172,0.06352,-0.05102,0.15485,0.00169,0.00153
0.0398,0.064,-0.06145,0.14355,0.00171,0.00191
0.02821,0.06372,-0.05964,0.14132,0.00174,0.00187
0.06252,0.06615,-0.03885,0.16932,0.00169,0.00151
