mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
0.27077,0.06523,0.16356,0.37016,0.00228,0.00162
0.30138,0.06352,0.20037,0.40005,0.00151,0.00111
0.1724,0.06131,0.06829,0.26104,0.0015,0.00116
0.18985,0.06423,0.08696,0.28903,0.00171,0.00138
0.15208,0.06465,0.05339,0.25691,0.0017,0.00138
0.36024,0.06518,0.25862,0.46916,0.00201,0.00145
0.20202,0.06731,0.09469,0.31064,0.00191,0.00145
0.27575,0.06706,0.17661,0.38879,0.0021,0.00151
0.29081,0.06584,0.18497,0.39349,0.0016,0.00113
0.09063,0.06567,-0.01583,0.19315,0.00191,0.00154
0.24042,0.06334,0.1425,0.34417,0.00186,0.00133
0.21656,0.06458,0.11127,0.3126,0.00169,0.00125
0.17268,0.06492,0.07039,0.27708,0.00219,0.00156
0.20555,0.06551,0.09842,0.30851,0.00186,0.00143
0.30575,0.06702,0.21102,0.42167,0.00182,0.00129
0.22678,0.06725,0.11484,0.33187,0.00189,0.00139
0.23048,0.06141,0.13909,0.33368,0.00144,0.00104
0.11791,0.06584,0.00759,0.21588,0.00181,0.00147
0.20554,0.06308,0.10825,0.3051,0.00167,0.00128
0.25177,0.06582,0.15779,0.36663,0.00221,0.00156
0.15233,0.06387,0.04341,0.24613,0.00214,0.00155
0.25672,0.06804,0.14338,0.35586,0.00146,0.00113
0.20987,0.06318,0.1086,0.30299,0.00187,0.00144
0.19962,0.06589,0.09305,0.30105,0.00201,0.00143
0.13341,0.06479,0.02599,0.23067,0.00206,0.00149
0.11859,0.06778,0.01538,0.22714,0.00201,0.00147
0.2064,0.06579,0.09884,0.31039,0.00174,0.00126
0.32428,0.06013,0.22289,0.40951,0.00204,0.00145
0.31408,0.06684,0.21771,0.43165,0.00259,0.00183
0.23744,0.06499,0.14126,0.3461,0.00186,0.00143
0.05779,0.06938,-0.06009,0.16401,0.00183,0.00177
0.23291,0.06916,0.12698,0.34876,0.00225,0.00164
0.50883,0.06615,0.39158,0.60293,0.00183,0.00131
0.22672,0.06783,0.11076,0.33158,0.00194,0.0014
0.10263,0.06178,0.01059,0.20501,0.0015,0.00124
0.24844,0.06672,0.14581,0.35958,0.00223,0.00161
0.39247,0.0672,0.2787,0.48638,0.00226,0.0016
0.128,0.06516,0.01686,0.22199,0.00158,0.00125
0.20051,0.06264,0.09772,0.29493,0.00176,0.0013
0.16928,0.06668,0.0727,0.28602,0.00188,0.00133
0.2859,0.06719,0.18019,0.38796,0.002,0.00148
0.32519,0.06991,0.21612,0.43352,0.00156,0.00111
0.21607,0.06607,0.09948,0.31207,0.00214,0.00151
0.12061,0.06383,0.01442,0.21684,0.00198,0.00147
0.27125,0.06487,0.16576,0.3721,0.00177,0.00125
0.20518,0.06633,0.0993,0.30525,0.00213,0.00156
0.18382,0.06578,0.07961,0.28643,0.00196,0.00138
0.26197,0.06667,0.15738,0.37102,0.00201,0.00147
0.05075,0.06757,-0.05716,0.15577,0.00181,0.00171
0.2096,0.06384,0.11021,0.31617,0.0015,0.00109
0.27805,0.06723,0.16786,0.38378,0.00186,0.00134
0.117,0.06595,0.00031,0.20868,0.0023,0.00163
0.21512,0.06839,0.09816,0.31994,0.00235,0.0017
0.14816,0.06701,0.05092,0.2569,0.00197,0.00148
0.23278,0.06637,0.12271,0.32962,0.00183,0.00138
0.23281,0.06572,0.12595,0.33518,0.00226,0.00161
0.29564,0.0675,0.19834,0.41403,0.00234,0.00167
