mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
-0.01353,0.06638,-0.12628,0.08309,0.00327,0.00242
-0.16355,0.06626,-0.25983,-0.05366,0.003,0.0022
-0.03482,0.0605,-0.13399,0.05257,0.00246,0.00176
0.02237,0.06662,-0.07402,0.13967,0.00232,0.00206
0.15407,0.06516,0.04802,0.25537,0.0026,0.00184
-0.05562,0.06257,-0.15073,0.04389,0.00264,0.00187
0.05455,0.06401,-0.05028,0.15196,0.00238,0.00176
0.11259,0.06272,0.01262,0.216,0.00272,0.00198
0.10012,0.06458,-0.00687,0.19621,0.00247,0.00175
0.08672,0.06322,-0.01374,0.18686,0.00221,0.00158
-0.1422,0.0618,-0.24001,-0.04674,0.00208,0.00149
0.02506,0.06427,-0.08514,0.11505,0.00234,0.00188
-0.00387,0.06395,-0.09888,0.09966,0.00298,0.00211
-0.07538,0.06259,-0.1811,0.01944,0.00206,0.00158
-0.11256,0.0663,-0.21023,0.00162,0.00289,0.0021
-0.11679,0.06324,-0.21625,-0.01107,0.00213,0.00165
0.05167,0.06533,-0.05182,0.15522,0.00214,0.00184
-0.06908,0.06648,-0.17365,0.03849,0.0026,0.0021
-0.04694,0.06368,-0.13709,0.06186,0.00307,0.00231
-0.04415,0.06488,-0.14609,0.05439,0.00234,0.00179
-0.01324,0.0618,-0.10345,0.08738,0.00248,0.00181
0.04624,0.05875,-0.04332,0.14489,0.00244,0.00173
0.03835,0.06097,-0.05483,0.13727,0.00245,0.00181
0.0253,0.06139,-0.07495,0.11938,0.00244,0.00173
0.10763,0.06397,0.00576,0.20949,0.00241,0.00177
-0.04886,0.0655,-0.1524,0.05256,0.00272,0.00194
-0.0049,0.06244,-0.09598,0.09737,0.00331,0.00234
0.01725,0.06368,-0.09171,0.11159,0.00235,0.00182
-0.1201,0.06386,-0.22333,-0.02355,0.00218,0.00166
0.00924,0.06231,-0.0893,0.10994,0.00239,0.00197
0.08321,0.06414,-0.0186,0.17755,0.00267,0.00189
0.02036,0.06675,-0.07532,0.13216,0.00352,0.00249
0.03221,0.06402,-0.07125,0.1294,0.0023,0.0017
-0.04538,0.06656,-0.14361,0.06253,0.0027,0.00233
-0.00576,0.06222,-0.10459,0.09062,0.00265,0.00188
0.04136,0.06417,-0.06099,0.13992,0.00269,0.00206
-0.00974,0.06213,-0.1055,0.09494,0.00226,0.00167
-0.1733,0.06113,-0.26763,-0.07464,0.00183,0.00132
-0.07809,0.0661,-0.17803,0.03445,0.00241,0.00204
-0.04568,0.06397,-0.14257,0.06254,0.00275,0.00195
0.03174,0.06369,-0.07565,0.12865,0.00233,0.00189
-0.0258,0.06362,-0.12968,0.07239,0.00284,0.00208
0.06924,0.06448,-0.02768,0.17419,0.0021,0.00169
0.0567,0.06702,-0.04817,0.15824,0.00277,0.00198
-0.01316,0.05953,-0.09883,0.0897,0.00207,0.00177
-0.12526,0.06625,-0.22346,-0.01764,0.00276,0.00217
-0.16306,0.06211,-0.25539,-0.06912,0.002,0.00145
-0.02023,0.06261,-0.119,0.07784,0.00222,0.0018
-0.08837,0.06441,-0.18912,0.01425,0.00219,0.00166
-0.03026,0.06388,-0.13573,0.0735,0.00202,0.00179
0.0928,0.06153,-0.01051,0.18957,0.00253,0.00183
-0.05889,0.0642,-0.15534,0.04276,0.00266,0.0019
-0.01316,0.06222,-0.11769,0.08119,0.00263,0.00192
-0.0645,0.06327,-0.17559,0.02468,0.00273,0.00197
0.21988,0.06245,0.12062,0.31788,0.00219,0.00155
-0.18279,0.06373,-0.29799,-0.0952,0.00238,0.00172
-0.01786,0.06204,-0.12661,0.07246,0.00227,0.00178
0.08897,0.06472,0.00332,0.20635,0.00237,0.00168
0.1218,0.06354,0.02266,0.22313,0.00273,0.00204
-0.11575,0.06177,-0.21624,-0.02109,0.00214,0.00152
0.09366,0.06581,-0.01384,0.19312,0.00259,0.00183
0.00026,0.06308,-0.09404,0.10317,0.00278,0.00215
-0.22157,0.06397,-0.31858,-0.11427,0.00225,0.00159
0.17637,0.0614,0.07852,0.2714,0.00162,0.00122
-0.00207,0.06204,-0.11019,0.08915,0.00235,0.00194
-0.06629,0.0663,-0.16341,0.03933,0.00335,0.00243
0.08824,0.06387,-0.00166,0.19182,0.00252,0.00182
0.24969,0.06423,0.14745,0.35073,0.00247,0.00175
0.08309,0.0618,-0.00318,0.19295,0.00213,0.00152
0.11646,0.06325,0.01127,0.21178,0.00235,0.0018
-0.00732,0.06076,-0.10863,0.08179,0.00173,0.00192
-0.05991,0.06281,-0.15246,0.04459,0.00247,0.00176
-0.05449,0.06577,-0.15347,0.0605,0.00224,0.00176
0.02775,0.06571,-0.0671,0.14371,0.00241,0.00178
0.04346,0.06392,-0.05205,0.14631,0.00271,0.00212
0.11064,0.06473,0.00655,0.20678,0.00249,0.00176
-0.08072,0.06601,-0.17994,0.03006,0.00239,0.0018
-0.08048,0.06313,-0.16829,0.03022,0.00247,0.00193
0.13965,0.05681,0.06117,0.24091,0.00198,0.00142
-0.11179,0.06442,-0.20822,-0.00189,0.00206,0.00147
-0.10722,0.06447,-0.21435,-0.01138,0.0029,0.00205
0.06045,0.06122,-0.03025,0.15683,0.00184,0.00139
-0.01042,0.06413,-0.11529,0.08675,0.00209,0.00206
-0.15293,0.06372,-0.26344,-0.05748,0.00243,0.00177
-0.23171,0.06327,-0.32929,-0.13067,0.00289,0.00208
0.20248,0.0665,0.09663,0.30292,0.0031,0.00222
-0.07584,0.06257,-0.17111,0.02461,0.00251,0.00208
-0.00686,0.06223,-0.10252,0.09191,0.00196,0.00178
-0.01733,0.06402,-0.10406,0.09517,0.00225,0.00168
0.11496,0.06373,0.0092,0.21002,0.00232,0.00164
-0.09576,0.06327,-0.19478,0.00667,0.0026,0.00184
0.12274,0.06716,0.02014,0.23524,0.00234,0.00195
0.06724,0.06545,-0.0324,0.17639,0.00239,0.00183
-0.20092,0.0634,-0.2929,-0.09107,0.00267,0.00189
-0.05301,0.06482,-0.15675,0.05,0.00294,0.00208
-0.01603,0.06506,-0.13727,0.07436,0.00229,0.00202
0.01556,0.0647,-0.08663,0.1126,0.00246,0.00208
-0.13438,0.06524,-0.25018,-0.04101,0.00219,0.00169
0.07327,0.06319,-0.028,0.17163,0.00263,0.00186
-0.13682,0.06419,-0.23782,-0.03215,0.00211,0.00152
-0.12162,0.06598,-0.23379,-0.02287,0.00343,0.00249
0.0857,0.06157,-0.00278,0.1899,0.00213,0.00151
-0.09666,0.06501,-0.21031,-0.0031,0.00216,0.00163
0.03716,0.06573,-0.06032,0.14462,0.00299,0.00222
0.07803,0.06455,-0.01981,0.18128,0.00263,0.00193
-0.01491,0.05961,-0.105,0.08536,0.00211,0.00179
0.0689,0.06297,-0.02698,0.17141,0.00214,0.00163
0.06859,0.0628,-0.02433,0.17442,0.00218,0.00168
0.02012,0.06556,-0.07129,0.12788,0.00231,0.00238
-0.06662,0.06565,-0.1722,0.03252,0.00241,0.00174
-0.14211,0.0596,-0.23084,-0.04853,0.00246,0.00178
-0.04883,0.06665,-0.14629,0.05774,0.00274,0.00194
-0.09392,0.06469,-0.19639,0.0065,0.00279,0.00211
-0.00644,0.06369,-0.11062,0.09604,0.00236,0.00215
0.12602,0.06441,0.02646,0.23625,0.00202,0.00146
0.12295,0.06482,0.02005,0.22679,0.00289,0.00208
-0.18687,0.06439,-0.29853,-0.09138,0.00268,0.0019
0.00046,0.06558,-0.09956,0.10812,0.0022,0.00223
0.01274,0.06216,-0.08008,0.11817,0.00238,0.00184
0.02727,0.06388,-0.0731,0.13128,0.0026,0.00232
-0.10313,0.06047,-0.19468,0.00217,0.00198,0.00158
0.06872,0.06558,-0.02052,0.18259,0.00238,0.00168
0.21788,0.06203,0.13134,0.32465,0.00235,0.00173
0.06573,0.0626,-0.03907,0.15908,0.00197,0.00156
-0.17289,0.06243,-0.26265,-0.06862,0.00267,0.00192
0.07204,0.06234,-0.01836,0.18281,0.00184,0.00144
0.08216,0.06556,-0.02862,0.17883,0.00203,0.00161
0.07549,0.0578,-0.01225,0.16775,0.00241,0.00182
0.06249,0.06488,-0.04233,0.16363,0.00257,0.00191
0.06927,0.06278,-0.03688,0.16095,0.00285,0.00202
