mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
0.00579,0.01974,-0.02534,0.03753,0.00145,0.00103
0.02699,0.02088,-0.00627,0.06039,0.00151,0.00126
-0.02836,0.02092,-0.05795,0.008,0.00158,0.00112
-0.00551,0.0199,-0.0388,0.02227,0.00106,0.00081
0.04945,0.02003,0.01706,0.08158,0.00125,0.00091
-0.04883,0.02211,-0.08342,-0.01124,0.00143,0.00102
-0.02385,0.02035,-0.05792,0.00639,0.00115,0.00082
0.0663,0.0206,0.03131,0.09673,0.00134,0.00095
0.02441,0.01961,-0.00607,0.05498,0.00159,0.00123
-0.01422,0.02013,-0.04579,0.01683,0.00121,0.00086
-0.10677,0.01972,-0.13872,-0.07698,0.00124,0.00091
-0.00195,0.02065,-0.03272,0.0329,0.00147,0.00104
-0.04675,0.02144,-0.08178,-0.01408,0.00153,0.00108
0.0273,0.01907,-0.00267,0.0567,0.00123,0.00091
0.03264,0.01984,0.00065,0.06398,0.00111,0.00079
0.01894,0.01971,-0.01065,0.05309,0.00142,0.00109
-0.01328,0.01885,-0.04196,0.01804,0.0013,0.00096
-0.02547,0.0202,-0.05855,0.00647,0.00157,0.00113
-0.05297,0.01872,-0.08544,-0.02662,0.00108,0.00077
0.10105,0.02025,0.06972,0.13335,0.00099,0.0007
0.00486,0.01854,-0.02456,0.03389,0.00121,0.00093
-0.06842,0.01975,-0.09797,-0.03591,0.00144,0.00102
0.00375,0.0193,-0.02789,0.03301,0.00145,0.00103
0.06405,0.02087,0.03084,0.09741,0.00158,0.00112
0.04183,0.021,0.00375,0.06978,0.00138,0.00098
-0.00953,0.01899,-0.04058,0.02112,0.00109,0.00077
-0.00304,0.02085,-0.03196,0.0294,0.00163,0.00115
-0.05457,0.01975,-0.08748,-0.02663,0.0012,0.00085
-0.01282,0.02006,-0.04206,0.0201,0.00157,0.00111
-0.12599,0.01858,-0.15432,-0.0957,0.00135,0.00098
0.03253,0.02172,-0.00481,0.06423,0.00179,0.00129
-0.01839,0.01972,-0.05107,0.01207,0.00114,0.00087
0.09356,0.02017,0.06529,0.13088,0.00138,0.001
-0.03532,0.02116,-0.06694,-0.00014,0.00136,0.00097
0.0633,0.01944,0.03271,0.09542,0.00122,0.00086
0.02966,0.02014,-0.00399,0.05899,0.00155,0.0011
-0.10631,0.01897,-0.13653,-0.07582,0.0012,0.00085
-0.02594,0.02103,-0.05864,0.00769,0.00128,0.00091
