mean
0.027
-0.039
0.006
0.001
0.007
0.027
0.027
-0.04
0.026
0.014
0.012
-0.021
-0.012
0.015
0.025
-0.022
-0.025
-0.012
-0.0
0.019
0.021
-0.007
-0.022
-0.012
-0.029
0.022
0.006
-0.012
0.016
-0.027
0.001
0.025
0.027
-0.035
0.026
0.044
0.068
-0.039
-0.022
0.001
-0.035
0.026
0.002
0.006
-0.014
-0.007
0.068
0.009
0.014
0.016
0.022
0.016
0.026
0.023
-0.027
0.007
0.006
0.026
0.044
0.007
0.012
-0.025
0.023
0.018
0.009
0.038
-0.04
0.021
0.007
-0.023
0.007
-0.021
-0.014
-0.025
0.012
-0.007
-0.0
-0.035
-0.035
-0.007
-0.029
-0.021
0.021
0.001
0.025
0.027
0.001
-0.02
0.027
-0.021
0.038
0.001
0.026
0.023
0.001
-0.025
0.027
0.027
0.012
0.021
-0.017
0.018
0.018
0.026
-0.039
0.025
0.007
0.027
0.001
0.018
-0.014
-0.012
-0.02
0.04
0.015
0.027
0.026
0.026
0.023
0.026
-0.025
-0.02
0.036
-0.012
0.002
-0.012
-0.023
0.021
0.006
-0.014
0.002
0.038
-0.012
0.03
0.04
0.026
-0.027
-0.023
0.021
-0.013
0.025
0.015
-0.013
0.025
-0.0
-0.014
0.001
-0.007
-0.016
0.044
0.03
-0.021
0.016
0.009
-0.0
-0.0
0.026
0.016
0.016
0.019
-0.023
0.025
-0.007
-0.014
0.019
0.027
-0.017
0.014
-0.035
0.026
-0.02
0.016
-0.029
-0.023
0.027
-0.039
-0.017
-0.022
-0.0
-0.025
-0.012
0.001
0.007
0.023
-0.022
0.021
-0.04
-0.012
0.014
0.002
0.021
0.001
0.016
-0.025
-0.014
0.021
0.021
-0.039
-0.0
0.04
0.044
0.068
0.009
0.009
0.023
0.016
-0.035
0.009
0.03
-0.017
-0.035
-0.02
0.009
-0.013
0.019
0.009
0.001
0.038
-0.016
-0.029
0.001
0.016
-0.027
0.015
0.027
-0.007
0.019
-0.022
-0.039
-0.023
-0.029
0.04
-0.012
0.022
0.022
0.044
0.014
0.027
-0.013
0.007
0.001
0.018
0.021
-0.025
0.015
-0.007
0.03
0.007
-0.012
0.044
0.027
-0.021
-0.017
0.038
-0.025
-0.007
-0.022
0.016
-0.014
0.009
0.016
0.025
0.015
-0.021
-0.04
-0.014
0.027
0.026
-0.035
-0.025
0.025
-0.04
0.012
-0.02
-0.039
0.022
0.016
-0.023
0.019
-0.04
-0.021
-0.007
0.012
0.044
0.036
0.015
-0.023
0.014
0.009
0.038
0.038
-0.016
0.016
-0.012
-0.029
0.022
0.019
-0.014
-0.029
0.036
-0.007
0.009
0.036
-0.035
0.022
0.021
-0.027
-0.012
0.038
-0.02
0.036
-0.029
-0.025
0.016
-0.012
-0.029
-0.014
0.019
0.022
0.018
0.022
-0.014
0.022
0.009
0.009
0.027
-0.016
0.009
-0.012
0.015
-0.025
0.025
-0.029
0.014
-0.023
-0.02
0.009
0.026
-0.022
0.002
0.002
0.021
0.026
-0.012
0.026
0.04
-0.02
0.04
0.026
0.006
0.001
-0.013
-0.021
-0.012
-0.029
-0.012
-0.016
0.016
0.022
0.015
0.006
0.015
0.015
0.044
-0.013
-0.023
0.015
-0.023
0.016
0.038
0.027
0.026
0.015
0.023
0.038
0.022
0.002
0.038
-0.0
0.018
0.012
0.016
0.026
-0.04
0.026
-0.021
-0.035
0.016
-0.02
0.009
-0.039
0.007
-0.025
-0.017
0.027
0.027
0.023
0.015
-0.02
-0.007
-0.021
0.015
0.027
-0.013
0.036
-0.013
0.016
-0.02
-0.007
0.03
0.04
0.007
-0.027
0.006
-0.016
0.036
0.038
0.018
-0.027
0.068
-0.027
0.009
0.016
-0.025
-0.016
-0.029
0.018
0.022
0.044
-0.035
0.026
-0.023
0.036
-0.025
-0.023
-0.0
0.025
0.023
0.001
-0.012
0.016
-0.012
-0.039
0.016
-0.039
-0.023
0.021
0.044
-0.02
0.001
0.026
-0.027
-0.035
-0.027
-0.025
0.021
-0.014
0.016
0.044
-0.0
0.036
-0.025
0.026
0.009
0.002
-0.021
-0.04
-0.012
0.027
0.018
-0.016
0.026
0.025
0.014
0.001
0.026
-0.025
-0.023
0.03
-0.025
0.023
0.009
0.027
0.026
0.006
0.044
0.03
0.009
0.038
0.021
0.015
0.001
-0.029
0.009
0.026
-0.021
-0.014
-0.017
0.023
-0.027
