mean,sd,hdi_5.5%,hdi_94.5%,mcse_mean,mcse_sd
-0.03788,0.01964,-0.06994,-0.00591,0.00185,0.00131
0.02304,0.01948,-0.00616,0.05548,0.0013,0.00092
-0.10516,0.02053,-0.13859,-0.07486,0.00108,0.00077
-0.03391,0.02128,-0.06414,0.0033,0.0011,0.00081
-0.04422,0.02035,-0.07452,-0.0128,0.00176,0.00125
-0.01047,0.01905,-0.04533,0.01688,0.00104,0.00074
0.00954,0.02111,-0.02546,0.04021,0.00169,0.0012
0.01499,0.01939,-0.01252,0.04985,0.00107,0.00075
-0.01431,0.02227,-0.04941,0.02217,0.00191,0.00135
0.05455,0.02025,0.02121,0.08522,0.00135,0.00102
-0.08321,0.02042,-0.11925,-0.05283,0.00136,0.00096
-0.03542,0.02053,-0.06538,-0.00236,0.00126,0.00089
0.0522,0.02202,0.01893,0.0892,0.0019,0.00135
-0.04325,0.02142,-0.07761,-0.00853,0.00215,0.00152
0.06848,0.02063,0.03566,0.10191,0.00098,0.00069
0.02619,0.02119,-0.00768,0.06157,0.00158,0.00112
-0.04356,0.02119,-0.07643,-0.01063,0.00145,0.00103
0.03539,0.01971,0.00764,0.06844,0.00209,0.00148
0.07631,0.02011,0.04723,0.11026,0.00135,0.00095
0.07705,0.02124,0.04479,0.11263,0.00142,0.00101
0.06647,0.01761,0.03887,0.09415,0.00154,0.00109
0.01892,0.0207,-0.01227,0.05105,0.00149,0.00108
0.04095,0.0195,0.00943,0.06983,0.00187,0.00132
-0.00323,0.02064,-0.03587,0.02869,0.00145,0.00103
-0.02424,0.02014,-0.05589,0.01032,0.002,0.00142
-0.0127,0.01927,-0.04471,0.01608,0.00116,0.00084
0.06602,0.01977,0.03608,0.09731,0.00128,0.00091
-0.04698,0.02138,-0.07924,-0.01282,0.00163,0.00116
0.03104,0.02004,0.00295,0.06607,0.00165,0.00117
0.13074,0.02074,0.0951,0.16246,0.0012,0.00085
-0.00402,0.01992,-0.03511,0.02903,0.00147,0.00104
-0.08203,0.02096,-0.11382,-0.04789,0.00151,0.00109
-0.07743,0.01961,-0.11106,-0.04809,0.00124,0.00088
-0.0614,0.02083,-0.0938,-0.02815,0.00143,0.00101
0.04905,0.02229,0.01096,0.08512,0.00241,0.00177
0.06667,0.02018,0.03026,0.09704,0.00147,0.00104
-0.08054,0.02094,-0.11318,-0.04835,0.001,0.00071
-0.02256,0.02179,-0.05589,0.01288,0.00177,0.00126
0.06618,0.02146,0.02988,0.09709,0.0014,0.001
-0.06438,0.02136,-0.10429,-0.03583,0.00167,0.00118
-0.04452,0.02104,-0.07519,-0.00913,0.00109,0.00079
0.00137,0.02194,-0.0322,0.03508,0.00141,0.001
-0.04285,0.0208,-0.07608,-0.00935,0.00101,0.00072
-0.03363,0.02068,-0.06608,-0.00212,0.00201,0.00143
-0.08866,0.01962,-0.11624,-0.05372,0.00136,0.00099
0.00944,0.02141,-0.02416,0.04418,0.00147,0.00104
0.04993,0.02075,0.01458,0.08132,0.00183,0.0013
